Music,Melody,Headphones,Ipod,Listen,Rhapsody
VEGETARIAN,MEAT,TOFU,HIPPIE,ANIMAL,VEGETABLE
REFRIGERATOR,FOOD,COLD,KITCHEN,MILK,EGGS
WHEAT,GRAIN,BREAD,FLOUR,POWDER,INREDIENT
DOVE,BIRD,ANIMAL,FLY,WHITE,NOAH
TICKET AGENT,AIRPORT,AIRLINE,BUS TERMINAL,TRAIN OPERATOR,PAPER
CHARGER,HANDPHONE,ELECTRIC,EMPTY,POWER,BATTERY
CANDLE,WAX,FLAME,WICK,MELT,STICK
LIGHT SWITCH,ELECTRICITY,PLASTIC,ON,OFF,THOMAS EDISON
BUBBLEGUM,CHEW,BUBBLE,MOUTH,BLOW,TASTE
FLYING,AEROPLANE,WINGS,BIRDS,AIRPORT,RUNWAY
CHERRY,RED,FRUIT,ROUND,TREE,SMALL
HOT AIR BALLOON,FLY,RIDE,BALLOON,GAS,CLOUDS AND SKY
WINNIE THE POOH,TIGGER,CARTOON,BEAR,HONEY,PIGLET
CLOUD,SKY,SUN,WHITE,WEATHER,RAIN
HELICOPTER,PROPELLER,AIRCRAFT,SKY,PLANE,FLY
BUILDING,SKYSCRAPER,OFFICE,WORK,EMPIRE STATE,HOME
PAPER CLIP,PAPER,CLIP,STAPLE,FILING,STATIONERY
INSTRUMENT,MUSIC,GUITAR,LISTEN,PLAY,FUN
PUNK,ROCK,ROLL,HATE,LOVE,SAD
FLAMES,ORANGE,BURN,HOT,FIREMAN,WATER
FLAG,INDONESIA,WAVE,RED WHITE,FLY,SYMBOL
HERO,SAVIOR,HELPS,SAVES,STRONG,BRAVE
PAINTING,COLORS,OIL,BRUSH,CANVAS,ARTIST
SWIMMING,POOL,WATER,SLIP,BATHING SUIT,SUMMER
RESTAURANT,FOOD,EAT,CHEF,TABLE,DESSERT
WILL SMITH,I AM LEGEND,AFRICAN,AMERICAN,ACTOR,MEN IN BLACK
CHEESE,MOUSE,MOON,YELLOW,MILK,TOM & JERRY
SCISSORS,PAPER,MATERIAL,TWO,CUT,DANGEROUS
PURPLE,COLOR,BLUE,VIOLET,LAVENDER,DARK
DICTIONARY,BOOK,WORDS,DEFINITIONS,KAMUS,MEANING
HEADACHE,PAIN,THROB,ASPIRIN,MIGRAINE,TEMPLE
ALLERGY,Sneeze,Cough,Pollen,Spring,Season
BEDROOM,Sleep,Bed,Rest,Matress,Cover
COLOUR,Yellow,Black,Orange,Brown,White
BOAT,Titanic,Sea,Ship,Water,Sail
YAWN,Sleep,Tired,Nap/siesta,Mouth,Wide
TEST,Cheat,School,Quiz,Study,Exam
DESERT,Camel,Cactus,Sand,Hot,Dry
WATCH,Hour,Rolex,Clock,Time,Wallclock
MCDONALDS,Hamburguers,Happy meal,Mcdonald,Fast Food,Restaurant
CRUTHES,Legs,Feet,Injury,Bones,Walk
BROOM,Clean,Sweep,Floor,Dirt,Closet
DIAPERS,Baby,Stinky,Pee,Poop,Butt
COUSIN,Family,Aunt,Uncle,Relative,Child
AUTHOR,Book,Write,Name,Pen,Stories
GOD,Religion,Jesus,Ala,Bible,Catholic
WEDDING,Marry,Spouse,Wife,Husband,Church
GIRL,Female,Young,Woman,Girlfriend,Boy
MESSENGER,Friends,Online,Offline,Block,Delete
APPLE,Ipod,Tree,Fruit,Red,Computer
MONEY,Euro,Dollar,Coin,Wealthy,Buy
TELEVISION,Watch,Channel,Look/See,Remote Control,TV
SNAKE,Animal,Long,Cobra,Venom,Poison
PINK,Colour,Girl,Female,Red,Blue
VEGETABLES,Green,Lettuce,Food,Potato,Cauliflower
CHOCOLATE,Kids,Brown,Sweet,Tasty,Food
TOYS,Children,Fun,Childish,Babies,Play
AIRPORT,Travel,Plane,Fly,Take off,Flight
BOOK,Pages,Author,Literature,Read,Write
WAIT,For,Taxi,Stop,Pause,Here
HAIR,Black,Brown,Curly,Long,Short
KING,Man,Crown,Leader,Royalty,Juan Carlos
CINEMA,Screen,Movies,Film,Act,Director
COLD,Temperature,Low,Winter,Snow,Ice
UMBRELLA,Rain,Wet,Water,Protect,Open
BREAD,Corn,Breakfast,Wheat,Flour,Sandwich
STEP,DAD,Divorce,Mother,Father,Children,Parent
BLOOD,Liquid,Red,Veins,Heart,Body
KISS,Love,Tongue,Romance,Lips,Couple
PIZZA,Cheese,Italian Food,Round,Pepperoni,Slice
HOUSE,Walls,Windows,Live,Home,Roof
GRANDSON,Generation,Kids,Mom,Children,Parent
TIME,Seconds,Minutes,Hours,Days,Years
BABY,Small,Little,Human,Infant,Born
TEENAGER,Adolescent,High School,Kids,Grow,Hormones
PLATE,Eat,Table,Food,Circle,Glass
MONSTER,Wolf man,Scary,Frankenstein,Mummy,Ugly
SANTA,CLAUS,Christmas,Rudolph,Chimney,Presents,Toys
TURTLES,Ninja,Tortoise,Slow,Animal,Shell
CAR,Wheels,Lights,Speed,Road,Drive
VOLLEYBALL,Net,Game,Sport,Beach,Players
MICKEY,Mouse,Donald Duck,Disney,Character,Daisiy
BRAZIL,Caipirinha,Samba,Soccer,Rio de Janeiro,Ronaldo
CHAIR,Sit,Wood,Legs,Table,Furniture
JEANS,Legs,Wear,Clothes,Levi’s,Trousers
UNIVERSITY,Study,Friends,Class,Degree,Batxillerat
CAR,Speed,Race,Drive,Transport,Travel
COOKIES,Oreo,Chocolate,chips,Milk,Biscuits,Breakfast
SCISSORS,Cut,Silver,Sharp,Paper,Tool
GIRAFFE,Neck,Long,Animal,Safari,Africa
CRY,Sad,Tears,Eye,Hurt,Water
IPOD,Apple,Music,MP3,Video,I-tunes
TREES,Leaves,Pine,Wood,Country,Green
EARTH,Planet,Space,Moon,Mars,Sun
MOON,Round,Satellite,Orbit,Lunar,Sky
BIRTHDAY,Born,Old,Cake/Celebrate,Year,Present/Gift
FOREVER,Sometimes,Never,Eternity,End,Always
CELL,PHONE,Mobile,SMS,Portable,Telephone,Vodafone/Movist
SLEEP,Rest,Bed,Lie down,Dream,Awaken
CHURCH,Pray,Priest,Catholic,Religion,Cathedral
PC,Keyboard,Mouse,Hard drive,Internet,Computer
CIRCUS,Show,Clown,Lion,Fun,Tent
SPOON,Eat,Cereal,Bowl,Fork,Silverware
INTERNET,Websites,Email,Google,Yahoo,Online
SIMPSONS,Series,TV,Bart Homer,Yellow,Marge
TEACHER,Educator,School,Professor,(Personal names),Profession
MILK,Drink,Cow,Cereal,White,Calcium
STUDENT,Teacher,School,University,Learn,Study
POLITICIAN,Public,Profession,Representative,Vote,Election
NEW YORK,City,Empire States,Statue of Liberty,Skyscrapers,United States
VIRUS,Trojan,Antivirus,Break,Computer,Laptop
FRAME,Picture,Photo,Display,Glass,Around
MOTHER IN LAW,Husband,Mother,Parent,Family,Wife
BODY,Legs,Arms,Hands,Nose,Head
NORTH,Direction,Pole,South,Way,West
POLICE,Jail,Gun,Street,Profession,Bad
BOY,Young,Male,Son,Girl,Person
LION,Jungle,King,Animal,Wild,Hairy
COFFEE,Morning,Caffeine,Sugar,Milk,Drink
SEPTEMBER,School,Month,Nine,Twin towers,August/October
DICTIONARY,Word,Meaning,Definition,Book,Language
PEN,Write,Ink,Bic,Paper,School
DRIVE,Traffic,Bus/car/van,Vehicle,Wheel,License
CHRISTMAS,Thanksgiving,December,Holiday,Celebration,Present
CLOUD,Fluffy,White,Air,Sky,Rain
SNOW,Man,Flakes,Fall,Ice,Cold
FRIDGE,Kitchen,Water,Food,Cold,Appliance
EARTHQUAKE,Earth,Nature,Ground,Destruction,Shake
ENCYCLOPEDIA,Book,Know,Science,Dictionary,Publication
APARTMENT,FLAT,RENT,HOUSE,BUILDING,ROOM
CARAVAN,GROUP,TOGETHER,DESERT,CAMEL,HOT
ARMY,WAR,SOLDIER,JOIN,AGE,COMPULSORY
BIBLE,TESTAMENT,BOOK,HOLY,WRITE,OATH
ACCOUNTANT,TAX,MONEY,HELP,BUSINESS,SAVE
KISS,CHEEKS,FACE,LOVE,MOUTH,GIVE
BRIDE,GROOM,WEDDING,MARRIAGE,WHITE,FIANCEE
ANNIVERSARY,DATE,WEDDING,BIRTHDAY,CELEBRATE,REMEMBER
BAKER,BREAD,MAKE,DAWN,OVEN,ROLL
GIRAFFE,NECK,ANIMAL,TALL,LONG,SPOTS
Dolphin,intelligent,animal,mammal,fish,flipper
ACE,TENNIS,ONE,CARD,BLACK JACK,RUMMY
ACCIDENT,CAR CRASH,BREAK,FALL,DRIVE,AMBULANCE
BAD,CRUEL,WRONG,GOOD,SIN,OMEN
TANDEM,BICYCLE,TWO,PEDAL,RIDE,BIKE
ACTOR,STAR,ACTRESS,PERFORM,STAGE,FILM
PHOBIA,FEAR,CLOSED,FEELING,TRAP,PANIC
PAVEMENT,PEDESTRIAN,WALK,STREET,SIDE,PEOPLE
CHAIR,SIT,FURNITURE,TABLE,WOOD,ROUND
ADVERTISEMENT,COMMERCIAL,TV,BREAK,SELL,SHOP
DIET,CALORIE,FAT,WEIGH,FOOD,EAT
Australia,continent,kangaroo,koala,Olympic games,Sydney
BOOK,PUBLISH,PAPER,PAGE,READ,NOVEL
TEACHER,SCHOOL,TUTOR,LESSON,CLASS,FOR EXAMPLE
CARROT,ORANGE,COLOUR,RABBIT,VEGETABLE,ROOT
GARAGE,CAR,DRIVE,IN,NIGHT,REPAIR,PLACE
HAND,FINGER,GLOVE,ARM,PALM,GRAB
MAGNET,ATTRACT,IRON,NORTH,POLE,TOSS
ENGINE,CAR,MOPED,BOAT,PETROL,FUEL
GEOMETRY,MATHS,ANGLE,FORM,SCHOOL,LINE
INTELLIGENT,CLEVER,IQ,STUPID,BRAIN,FOOL
TRAFFIC,TAXI/CAB,LATE,STOP,YELLOW,CROWD
ANGEL,HALO,HEAVEN,GOOD,WING,DEMON
HERO,SAVE,BRAVE,STRONG,LEGEND,ADMIRE
UNICORN,ONE,HORN,HORSE,MYTHOLOGY,STORY
SOCKS,FEET,HOLE,SHOES,WOOL,SMELL
MOTORWAY,TRAFFIC,LANE,FARE PAY,FREEWAY,DRIVE
MASSAGE,SALOON,NAKED,LIE,PRESS,BODY
SUNFLOWER,PETAL,YELLOW,SEED,HIGH,COLOR
HONEY,COMB,BEE,SWEET,BEAR,FOOD
FAX,TELEPHONE,COPY,SEND,OFFICE,QUICK
YESTERDAY,PAST,BEFORE,TOMORROW,LAST,,PREVIOUS
RICH,WEALTHY,POOR,MONEY,TREASURE,FORTUNE
LAST WILL,TESTAMENT,HERITAGE,DIE,PROPERTY,WISH
ELECTION,VOTE,THROW,BOX,POLITICS,FOUR
WHISPER,SPEAK,SOFT,EAR,VOICE,SECRET
IDEA,THOUGHT,DREAM,NOTION,PLAN,INVENTION
FAN,LADY,WARM,MOVE,AIR,WIND
HORSESHOE,FOOT,LUCK,SMITH,HOOF,IRON
SNOW STORM,WINTER,COLD,WIND,WHITE,FALL
BREAD,FLOUR,BAKE,EAT,BREAKFAST,WHEAT
BIGAMY,MARRIAGE,HUSBAND,WIFE,TWO,FEMALE
BARMAN,DRINK,PUB,ALCOHOL,SPIRIT,BEER
HICK UP,AIR,SUDDEN,WATER,FRIGHTEN,SOUND
SHIPWRECKED,ISLAND,REEF,PALM,ROBINSON,BOTTLE
BACKPACK,SACK,WALK,HILL,FOOD,MOUNTAIN
Parade,March,Band,Dance,4th of July,Independence
Croissant,Pastry,Bread,Breakfast,Ham,Cheese
Gem,Precious,Diamond,Value,Jewel,Ring
Lizard,Reptile,Chameleon,Salamander,Iguana,Gecko
Blood,Vampire,Dracula,Red,Cells,Pure
Station,Police,Train,Place,Wait,Track
Insane,Crazy,Mad,Medical,Unfit,Handicap
Raft,River,Fast,Waves,Rock,Down
Raisin,Grapes,Wrinkled,Prunes,Trail,Fruit
Ounce,Pound,Weight,Measure,Scale,Unit
Torch,Olympics,Fire,Run,Hold,Light
Broth,Soup,Stock,Liquid,Bowl,Chicken
Doorbell,Ring,Sound,Guest,Visit,Outside
Gossip,Talk,Friends,Criticize,Dirty,Bad
Melt,Ice,Heat,Warm,Freeze,Weather
Cane,Christmas,Red,Swirl,Walk,Handicap
Bait,Fish,Attract,Fly,Worm,Rod
Skin,Outer,Nerve,Feel,Hair,Soft
Bald,Hair,Head,Old,Man,Loose
Crow,Bird,Black,Scare,Feathers,Fly
Plum,Color,Fruit,Eat,Purple,Seed
Syringe,Inject,Needle,Nurse,Medicine,Clinic
Straw,Drink,Hay,Tube,Suck,Hollow
Cracker,Cookie,Cheese,Bread,Graham,Soup
Lost,Found,Look,Search,Gone,Missing
Town,City,Small,Country,Place,Ghost
Curly,Hair,Swirl,Curve,Round,Wavy
Slim,Thin,Skinny,Diet,Weight,Scale
Straight,Curve,Line,Laser,Hair,Road
Boring,Interesting,Sleepy,Alert,Long,Lecture
Wink,Eye,Move,Close,Rapid,Flirt
Wave,Ocean,Micro,Surf,Greet,Good bye
Beef,Cow,Meat,Eat,Stew,Steak
Cabbage,Vegetable,Cole,Ground,Grow,Produce
Stationary,Paper,Fixed,Immobile,Envelope,Card
Cord,Telephone,Electrical,Wire,Conductor,Power
Ache,Pain,Head,Tooth,Sore,Hurt
Project,Labor,Plan,Make,Undertake,Work
Mayor,Study,Politician,City,Town,Govern
Volume,Mass,Pitch,Tune,Music,Loud
Mass,Volume,Bulk,Body,Multitude,People
Law,Advocate,Practice,Judge,Trial,Crime
Battery,Electricity,Charge,Duracell,Energizer,Assault
War,Battle,Disagreement,Telegram,Communication,World
Strike,Take,Protest,Stop,Hit,Assume
Lightning,Electricity,Storm,Thunder,Strike,Flash
Bun,Bread,Buttocks,Cheek,Flour,Bake
Mobile,Movement,Phone,Cellular,Communication,Internet
Exotic,Alien,Uncommon,Foreign,Rare,Unusual
Lane,Road,Street,Drive,Left,Right
Studio,Room,Recording,Workplace,Location,Study
Border,Around,Frontier,Cross,Surround,Countries
Microphone,Voice,Talk,Sing,Hold,Music
Crash,Accident,Death,Car,Airplane,Impact
Legend,Old,Myth,Fable,Tale,Story
Grocery,Supermarket,Food,Product,Bag,Shop
Haircut,Saloon,Barber,Scissors,Groom,Short
Battle,Years,War,Fight,Conflict,Combat
Testimony,Story,Tell,Give,Witness,Declare
Boil,Hot,Water,Bubble,Degrees,Pot
Toll,Pay,Money,Fare,Road,Booth
Mole,Spy,Blemish,Birthmark,Covert,Undercover
Pedestrian,Person,Walk On,Foot,Move,Transport
Subway,Train,Underground,Transportation,Tube,Sandwich
Dry Clean,Delicate,Fabric,Clothes,Laundry,Wash
Tide,Ocean,Sea,Rise,Water,Coast
Soon,Later,Time,Short,Period,Long
Lake,Water,Mass,Lagoon,Ice skate,River
Sightseeing,Tourist,Visit,Explore,View,Travel
Costume,Halloween,Dress,Character,Carnival,Fair
Float,Parade,Ice cream,Balloon,Sky,Carriage
Brave,Courage,War,Heart,Hero,Danger
Evil,Devil,Bad,Satan,Hell,Mean
Wise,Three,Man,Knowledge,Experience,Life
Royalty,King,Queen,Monarchy,Payment,Money
Guide,Lead,Map,Follow,Book,Tourist
Blink,Eye,Close,Fast,Lid,Reflex
Sting,Bee,Hurt,Pain,Itch,Jelly fish
Skunk,Smell,Stink,Black,White,Small
